Names,scan1-1.png,scan1-2.png,scan1-3.png,scan1-4.png,scan1-5.png,scan1-6.png,scan1-7.png,scan1-8.png,scan1-9.png,scan1-10.png,scan1-11.png,scan1-12.png,scan1-13.png,scan1-14.png,scan1-15.png,scan1-16.png,scan1-17.png,scan1-18.png,scan1-19.png,scan1-20.png,scan1-21.png,scan1-22.png,scan1-23.png,scan1-24.png,scan1-25.png,scan1-26.png,scan1-27.png,scan1-28.png,scan1-29.png,scan1-30.png,scan1-31.png,scan1-32.png,scan1-33.png,scan1-34.png,scan1-35.png,scan1-36.png,scan1-37.png,scan1-38.png,scan1-39.png,scan1-40.png,scan1-41.png,scan1-42.png,scan1-43.png,scan1-44.png,scan1-45.png,scan1-46.png,scan1-47.png,scan1-48.png,scan1-49.png,scan1-50.png,scan1-51.png,scan1-52.png
scan1-14.png,1.84629,1.7789,8.8558,2.02069,2.02361,1.6752,1.87165,0.876647,5.70808,8.07508,0.817226,6.70266,0.44369,0.0,2.12141,1.94865,2.07339,1.66345,2.16547,4.46801,2.56451,1.5261,0.540961,0.218929,1.36198,3.89589,1.8296,1.97894,2.38867,1.95836,1.74449,2.78055,1.793,0.894237,4.49673,20.0191,1.10276,7.45983,1.52434,0.804155,2.14558,1.96839,1.9855,1.50507,0.592144,2.83369,0.816381,1.07203,0.851018,0.746113,2.49857,0.901438
scan1-15.png,0.628893,0.391957,9.69912,0.11312,3.7741,3.32966,3.58301,2.90748,7.8295,9.46362,1.97652,7.54598,2.38912,2.12141,0.0,0.412513,0.0845953,0.585801,4.20841,5.15177,3.94204,2.76041,1.97165,2.31273,2.68305,5.94596,0.44161,0.301278,3.72443,0.322399,0.502038,4.33899,0.45597,2.59199,4.52237,19.2852,2.08891,9.58125,3.35258,2.20743,0.0241693,0.29542,0.28134,2.95414,2.21372,4.39663,2.22112,1.69664,1.69403,1.5856,3.82002,2.94994
scan1-16.png,0.481279,0.268481,11.0962,0.438752,4.0848,3.17678,3.81844,2.62682,7.41699,10.187,2.23815,8.31165,2.51842,1.94865,0.412513,0.0,0.604242,0.381292,4.0411,6.22327,4.02174,3.07201,2.13575,2.02436,3.04104,5.75554,0.236106,0.216281,4.51648,0.192391,0.373862,4.38048,0.162123,2.41461,4.49673,19.8055,1.86215,9.16874,3.55347,2.72286,0.436682,0.241629,0.254814,3.00394,2.04931,4.48381,2.71759,1.79367,1.83971,1.37947,4.03394,2.75701
scan1-17.png,0.93464,0.32773,10.9292,0.0441301,4.09701,3.7486,3.94505,2.82725,7.7449,10.1485,2.28904,8.77605,2.51708,2.07339,0.0845953,0.604242,0.0,0.659188,4.19973,6.54141,4.38598,3.59949,2.22083,2.25896,3.43528,5.9156,0.54338,0.412058,4.46206,0.433726,0.579125,4.85394,0.535509,2.96763,4.49673,20.2246,2.42062,9.49665,3.59773,2.53972,0.108765,0.389796,0.37874,3.57847,2.204,4.90708,2.55195,2.29587,1.89406,1.55242,4.57197,2.92208
scan1-18.png,0.51607,0.28242,11.0662,0.492596,4.05489,3.11404,3.78852,2.48592,7.2437,10.1571,2.20824,8.24891,2.52748,1.66345,0.585801,0.381292,0.659188,0.0,3.89013,6.16053,3.95907,3.00927,2.17047,1.76206,3.07576,5.55933,0.326062,0.493518,4.48656,0.474238,0.19,4.31774,0.283701,2.43818,4.49673,19.9489,1.79941,8.99545,3.52356,2.66812,0.609971,0.501503,0.520141,2.9412,1.8847,4.42107,2.67536,1.731,1.87443,1.0469,3.9712,2.56488
scan1-19.png,3.92647,3.89894,7.45588,4.14181,1.41156,1.43475,1.42894,1.31908,3.62109,6.5467,3.06164,4.76096,2.38918,2.16547,4.20841,4.0411,4.19973,3.89013,0.0,2.67258,1.78678,2.41732,2.94798,1.92698,2.29714,1.75924,3.89737,4.04729,1.84415,4.02893,3.86766,1.72079,3.88852,2.0511,5.47041,19.3873,2.55046,5.37284,1.62484,2.70951,4.23258,4.03366,4.04863,2.14615,2.00914,1.58367,2.69837,3.19048,3.16945,2.73634,1.26003,1.27765
scan1-20.png,5.90513,5.81825,7.17656,6.06111,3.90573,3.04649,3.36009,2.68483,2.67773,6.5643,5.67354,2.79237,4.78848,4.46801,5.15177,6.22327,6.54141,6.16053,2.67258,0.0,3.02147,3.79084,5.10485,3.84628,3.42615,2.45681,6.3088,6.43955,3.68869,6.41566,6.26794,2.44288,6.29848,3.85431,6.6744,18.9724,4.36112,4.42947,3.78976,5.40424,5.17594,6.4649,6.47809,3.39048,4.67016,2.19705,5.37957,5.10733,5.42463,4.65564,2.18933,3.61933
scan1-21.png,3.5721,4.12866,7.48345,4.09374,2.56672,2.31094,1.41127,1.4861,3.88746,6.44829,3.28186,5.01751,2.83291,2.56451,3.94204,4.02174,4.38598,3.95907,1.78678,3.02147,0.0,1.9943,3.04403,2.49774,2.84476,2.47821,4.01489,4.13533,2.25473,4.14432,3.92294,2.93164,4.11945,2.18401,6.45861,20.1815,2.91879,5.63921,2.32484,2.44017,3.96621,4.1664,4.158,3.34115,3.13393,2.8074,2.4124,2.67311,3.44542,3.09587,2.04219,2.59977
scan1-22.png,2.75387,3.06347,8.80093,3.30633,2.25507,1.11871,2.2786,0.552119,5.06909,7.6332,2.21145,6.35024,1.73766,1.5261,2.76041,3.07201,3.59949,3.00927,2.41732,3.79084,1.9943,0.0,1.95359,1.3596,0.961056,4.05499,3.15754,3.28829,2.43253,3.2644,3.11668,2.48219,3.14722,0.926203,4.49673,19.7824,2.22056,6.82084,1.82285,1.72048,2.78458,3.31364,3.32682,1.92721,2.03868,2.69529,1.69271,1.39227,2.35016,1.95774,1.60739,1.46256
scan1-23.png,1.88522,1.82298,8.98141,2.06584,1.97606,2.05836,1.74475,1.1979,5.85785,8.07224,0.352291,7.19323,0.558809,0.540961,1.97165,2.13575,2.22083,2.17047,2.94798,5.10485,3.04403,1.95359,0.0,0.533185,1.83378,4.25386,2.15094,2.28284,2.40173,2.26339,2.14799,3.26206,2.17701,1.27518,4.49673,20.1703,1.10574,7.6096,1.55983,0.938307,1.99582,2.30201,2.31094,1.88552,0.992926,3.36539,0.943011,1.14922,0.415362,0.72206,2.91552,1.25533
